序号,区域,URL,
1,车削、线切割,https://planner.cloud.microsoft/webui/plan/dSmVB8JBW0Of-6vnM5L932QAF39f/view/schedule?tid=d73a39db-6eda-495d-8000-7579f56d68b7,
2,后处理,https://planner.cloud.microsoft/webui/plan/20EOlZRJCE6WAmZzpbVpGWQAAN1v/view/schedule?tid=d73a39db-6eda-495d-8000-7579f56d68b7,
3,加工中心,https://planner.cloud.microsoft/webui/plan/cyiFXQW0kEOW6xgHKRyYmWQADShb/view/schedule?tid=d73a39db-6eda-495d-8000-7579f56d68b7,
4,器械纵切,https://planner.cloud.microsoft/webui/plan/3-7G11nhsUaXZbXNvuyXHmQAFIdk/view/schedule?tid=d73a39db-6eda-495d-8000-7579f56d68b7,
5,植入物纵切,https://planner.cloud.microsoft/webui/plan/pa0Xhnx6dkmZvQ0ZjcNfpWQAHy7c/view/schedule?tid=d73a39db-6eda-495d-8000-7579f56d68b7,
6,脊柱+创伤,https://planner.cloud.microsoft/webui/plan/OP1-OvwNok-ORUICBU3TVWQAFVFV/view/schedule?tid=d73a39db-6eda-495d-8000-7579f56d68b7,
7,KH后处理,https://planner.cloud.microsoft/webui/plan/lbzwmNx7-UWJbOCM_4_vKWQABTyV/view/schedule?tid=d73a39db-6eda-495d-8000-7579f56d68b7,
8,Campus,https://planner.cloud.microsoft/webui/plan/2C-eXgaqe0y5khJ59fpsTWQAHSo8/view/schedule?tid=d73a39db-6eda-495d-8000-7579f56d68b7,
9,SUP,https://planner.cloud.microsoft/webui/plan/8plFtLj-xUSgjnp3XvizuGQACuT0/view/schedule?tid=d73a39db-6eda-495d-8000-7579f56d68b7,
10,康辉器械,https://planner.cloud.microsoft/webui/plan/fMa5gr2rAki9U9mTxoNmQmQADqh3/view/schedule?tid=d73a39db-6eda-495d-8000-7579f56d68b7
